Date,Close/Last,Volume,Open,High,Low
05/08/2020,30.97,19796,29.43,31.13,29.4
05/07/2020,29.46,35008,30.12,31.84,29.07
05/06/2020,29.72,35719,31.88,32.49,28.67
05/05/2020,30.97,35516,27.94,31.69,27.8
05/04/2020,27.2,29677,26.21,28.08,25.48
05/01/2020,26.44,27764,26.72,27.95,25.75
04/30/2020,25.27,1196,23.11,25.33,25.27
04/29/2020,22.54,9500,20.75,22.96,22.76
04/28/2020,20.46,19364,20.17,21.27,18.73
04/27/2020,19.99,23204,21.3,21.91,19.11
04/24/2020,21.44,30443,21.79,22.67,20.51
04/23/2020,21.33,42516,21.3,21.92,21.68
04/22/2020,20.37,49471,22.13,22.13,19.92
04/21/2020,19.33,82076,19.13,20.22,18.32
04/20/2020,25.57,44255,25.47,26.54,25.38
04/17/2020,28.08,34615,28.47,29,27.6
04/16/2020,27.82,29580,28.06,29.01,27.2
04/15/2020,27.69,29940,30.01,30.42,27.17
04/14/2020,29.6,29849,32.09,32.38,29.4
04/13/2020,31.74,26185,32.44,33.23,30.64
04/09/2020,31.48,46392,33.66,36.43,31.24
04/08/2020,32.84,36253,32.41,33.78,32.73
04/07/2020,31.87,34982,33.31,34.18,31.73
04/06/2020,33.05,35676,31.25,33.32,33.02
04/03/2020,34.11,54728,29.96,35,28.28
04/02/2020,29.94,63068,30.65,32.21,28.03
04/01/2020,24.74,41906,25.93,26.27,24.54
03/31/2020,26.35,40333,26.46,27.91,25.7
03/30/2020,22.76,5745,24,23.06,21.69
03/27/2020,24.93,21201,26.71,27,24.17
03/26/2020,26.34,24090,27.59,27.67,26.04
03/25/2020,27.39,24748,27.6,28.28,25.73
03/24/2020,27.15,27959,27.64,28.64,26.69
03/23/2020,27.03,30457,26.5,27.52,24.68
03/20/2020,26.98,51408,28,30.93,26.79
03/19/2020,28.47,41004,26.44,29.38,24.98
03/18/2020,24.88,46551,28.66,29.19,24.51
03/17/2020,28.73,32080,29.7,31.22,28.46
03/16/2020,30.05,42843,29.57,31.27,29.47
03/13/2020,33.85,49603,32.86,35.99,32.17
03/12/2020,33.22,66611,36.13,36.53,32.48
03/11/2020,35.79,59919,37.8,36.1,35.49
03/10/2020,37.22,66431,33.46,38.21,33.44
03/09/2020,34.36,75418,39.24,39.24,31.25
03/06/2020,45.27,68455,50.12,49.68,45.16
03/05/2020,49.99,38582,51.96,52.01,49.7
03/04/2020,51.13,39131,51.73,53.03,51.04
03/03/2020,51.86,41465,52.98,53.87,51.24
03/02/2020,51.9,46064,49.04,52.78,48.38
02/28/2020,50.52,1149,51.37,51.49,50.12
02/27/2020,52.18,7441,52.79,53.12,51.05
02/26/2020,53.43,25129,55.08,53.44,53.34
02/25/2020,54.95,25874,55.14,55.18,54.61
02/24/2020,56.3,26796,58.02,56.36,56
02/21/2020,58.5,35606,59.16,59.27,57.74
02/20/2020,59.31,32650,59.34,60.02,58.9
02/19/2020,59.12,35452,57.7,59.41,57.54
02/18/2020,57.75,46485,57.54,57.82,56.29
02/14/2020,57.32,40762,56.4,57.53,56.16
02/13/2020,56.34,48127,56.34,56.83,54.97
02/12/2020,55.79,42664,54.18,56.3,54.18
02/11/2020,54.01,35703,53.35,54.66,53.35
02/10/2020,53.27,35455,54.24,54.7,53.11
02/07/2020,54.47,43021,55.36,55.47,54.21
02/06/2020,54.93,49497,55.57,56.56,54.24
02/05/2020,55.28,54972,53.88,56.47,53.88
