"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2020","EQ","1,175.00","1,185.35","1,168.00","1,179.60","1,182.50","1,181.80","1,178.14","2,503.30","1,084.00",11184775,"13,177,181,997.65",233028
"02-Mar-2020","EQ","1,200.20","1,201.15","1,166.15","1,177.65","1,185.00","1,179.60","1,184.61","2,503.30","1,084.00",7332449,"8,686,077,365.55",197905
"28-Feb-2020","EQ","1,175.50","1,185.00","1,170.10","1,199.45","1,178.80","1,177.65","1,176.25","2,503.30","1,084.00",12156528,"14,299,167,014.40",276737
"27-Feb-2020","EQ","1,195.00","1,202.50","1,181.00","1,199.25","1,199.65","1,199.45","1,191.25","2,503.30","1,084.00",10327549,"12,302,665,880.20",241038
"26-Feb-2020","EQ","1,197.50","1,204.70","1,185.65","1,200.30","1,201.10","1,199.25","1,195.09","2,503.30","1,084.00",6907393,"8,254,956,318.75",191519
"25-Feb-2020","EQ","1,204.00","1,209.00","1,198.00","1,209.95","1,201.80","1,200.30","1,201.07","2,503.30","1,084.00",6943340,"8,339,458,217.80",193249
"24-Feb-2020","EQ","1,208.95","1,214.75","1,200.00","1,217.10","1,210.25","1,209.95","1,205.66","2,503.30","1,084.00",8284042,"9,987,753,564.30",199969
"20-Feb-2020","EQ","1,230.00","1,230.00","1,214.10","1,227.20","1,217.00","1,217.10","1,221.38","2,503.30","1,084.00",5561707,"6,792,970,359.70",146273
"19-Feb-2020","EQ","1,222.50","1,230.00","1,213.90","1,213.25","1,227.20","1,227.20","1,221.68","2,503.30","1,084.00",5006134,"6,115,909,249.10",101692
"18-Feb-2020","EQ","1,216.90","1,218.50","1,203.50","1,217.15","1,217.05","1,213.25","1,209.57","2,503.30","1,084.00",5264558,"6,367,872,772.45",119172
"17-Feb-2020","EQ","1,225.00","1,233.00","1,214.45","1,219.35","1,218.00","1,217.15","1,221.46","2,503.30","1,084.00",5076345,"6,200,535,024.85",157333
"14-Feb-2020","EQ","1,243.20","1,248.40","1,215.00","1,241.40","1,219.45","1,219.35","1,227.78","2,503.30","1,084.00",7344429,"9,017,358,547.30",167779
"13-Feb-2020","EQ","1,259.90","1,259.90","1,233.60","1,249.00","1,239.50","1,241.40","1,241.95","2,503.30","1,084.00",4556070,"5,658,432,160.20",97099
"12-Feb-2020","EQ","1,245.20","1,252.90","1,244.05","1,240.60","1,249.00","1,249.00","1,249.42","2,503.30","1,084.00",3148965,"3,934,383,166.55",87413
"11-Feb-2020","EQ","1,243.30","1,255.00","1,238.05","1,240.30","1,239.90","1,240.60","1,246.80","2,503.30","1,084.00",5806760,"7,239,873,153.45",98063
"10-Feb-2020","EQ","1,242.95","1,242.95","1,226.05","1,242.20","1,240.95","1,240.30","1,235.68","2,503.30","1,084.00",4609917,"5,696,388,107.65",105140
"07-Feb-2020","EQ","1,246.00","1,247.00","1,231.60","1,239.80","1,240.00","1,242.20","1,238.21","2,503.30","1,084.00",3407724,"4,219,486,810.85",81299
"06-Feb-2020","EQ","1,244.65","1,248.70","1,237.20","1,244.65","1,239.95","1,239.80","1,242.01","2,503.30","1,084.00",5913775,"7,344,982,424.55",126190
"05-Feb-2020","EQ","1,234.90","1,248.00","1,227.30","1,229.80","1,246.00","1,244.65","1,237.42","2,503.30","1,084.00",9010341,"11,149,564,568.10",150882
"04-Feb-2020","EQ","1,198.00","1,234.00","1,198.00","1,192.80","1,229.00","1,229.80","1,222.00","2,503.30","1,084.00",10448852,"12,768,529,290.90",173447
"03-Feb-2020","EQ","1,197.00","1,197.95","1,177.70","1,198.70","1,194.00","1,192.80","1,188.67","2,503.30","1,084.00",6538505,"7,772,096,364.25",251382
"01-Feb-2020","EQ","1,220.00","1,227.70","1,191.35","1,226.30","1,192.50","1,198.70","1,210.20","2,503.30","1,084.00",4913643,"5,946,467,662.40",132683
"31-Jan-2020","EQ","1,231.45","1,237.80","1,220.25","1,226.05","1,224.25","1,226.30","1,230.24","2,503.30","1,084.00",5589134,"6,876,000,868.35",169641
"30-Jan-2020","EQ","1,238.95","1,238.95","1,217.20","1,235.85","1,227.90","1,226.05","1,224.75","2,503.30","1,084.00",6055992,"7,417,090,655.15",195593
"29-Jan-2020","EQ","1,225.30","1,242.00","1,222.25","1,223.20","1,235.80","1,235.85","1,235.01","2,503.30","1,084.00",6894175,"8,514,372,123.25",155174
"28-Jan-2020","EQ","1,218.80","1,227.80","1,213.25","1,213.20","1,223.10","1,223.20","1,221.37","2,503.30","1,084.00",6706079,"8,190,599,143.00",219199
"27-Jan-2020","EQ","1,235.00","1,235.00","1,211.75","1,244.55","1,213.50","1,213.20","1,220.97","2,503.30","1,084.00",9444276,"11,531,192,819.45",268331
"24-Jan-2020","EQ","1,246.00","1,254.00","1,239.10","1,244.85","1,245.80","1,244.55","1,247.28","2,503.30","1,084.00",5915878,"7,378,771,197.30",138884
"23-Jan-2020","EQ","1,240.00","1,246.85","1,231.00","1,240.85","1,245.35","1,244.85","1,240.93","2,503.30","1,084.00",5754460,"7,140,906,437.50",176401
"22-Jan-2020","EQ","1,248.05","1,255.00","1,234.40","1,244.35","1,241.85","1,240.85","1,243.37","2,503.30","1,084.00",9184155,"11,419,277,034.85",146555
"21-Jan-2020","EQ","1,250.00","1,250.00","1,238.40","1,254.90","1,244.90","1,244.35","1,244.14","2,503.30","1,084.00",7492402,"9,321,621,104.55",216589
"20-Jan-2020","EQ","1,304.85","1,304.85","1,252.50","1,278.15","1,257.35","1,254.90","1,265.00","2,503.30","1,084.00",11089225,"14,027,827,939.05",245672
"17-Jan-2020","EQ","1,281.75","1,284.90","1,271.90","1,287.65","1,277.40","1,278.15","1,277.38","2,503.30","1,084.00",8459407,"10,805,901,963.60",136379
"16-Jan-2020","EQ","1,282.05","1,291.00","1,279.35","1,284.25","1,287.50","1,287.65","1,285.32","2,503.30","1,084.00",3575200,"4,595,266,982.80",93131
"15-Jan-2020","EQ","1,286.40","1,287.95","1,274.10","1,289.50","1,285.05","1,284.25","1,280.62","2,503.30","1,084.00",5893724,"7,547,649,403.30",105548
"14-Jan-2020","EQ","1,289.00","1,292.55","1,277.50","1,286.00","1,288.00","1,289.50","1,284.81","2,503.30","1,084.00",3943145,"5,066,203,793.15",91722
"13-Jan-2020","EQ","1,282.70","1,296.50","1,276.00","1,282.70","1,287.00","1,286.00","1,289.33","2,503.30","1,084.00",3725784,"4,803,755,674.70",107121
"10-Jan-2020","EQ","1,284.10","1,286.90","1,275.10","1,271.40","1,281.00","1,282.70","1,282.11","2,503.30","1,084.00",4607290,"5,907,037,339.20",123583
"09-Jan-2020","EQ","1,265.00","1,275.80","1,263.10","1,257.30","1,271.80","1,271.40","1,271.27","2,503.30","1,084.00",4773158,"6,067,965,129.35",125829
"08-Jan-2020","EQ","1,246.95","1,262.15","1,240.05","1,260.60","1,256.00","1,257.30","1,253.71","2,503.30","1,084.00",5666055,"7,103,612,130.00",141795
"07-Jan-2020","EQ","1,258.90","1,271.45","1,252.25","1,240.95","1,261.00","1,260.60","1,261.48","2,503.30","1,084.00",7362247,"9,287,301,543.65",189026
"06-Jan-2020","EQ","1,260.00","1,261.80","1,236.00","1,268.40","1,240.25","1,240.95","1,247.24","2,503.30","1,084.00",5445093,"6,791,347,831.05",155007
"03-Jan-2020","EQ","1,282.20","1,285.00","1,263.60","1,286.75","1,268.50","1,268.40","1,270.48","2,503.30","1,084.00",5427775,"6,895,885,753.85",157066
"02-Jan-2020","EQ","1,279.00","1,288.00","1,279.00","1,278.60","1,286.00","1,286.75","1,284.56","2,503.30","1,084.00",3068583,"3,941,791,536.35",104570
"01-Jan-2020","EQ","1,276.10","1,280.00","1,270.60","1,272.10","1,279.00","1,278.60","1,276.64","2,503.30","1,084.00",1836849,"2,345,000,988.70",46625
"31-Dec-2019","EQ","1,281.95","1,281.95","1,268.65","1,282.15","1,275.50","1,272.10","1,272.87","2,503.30","1,084.00",4178528,"5,318,720,963.95",127264
"30-Dec-2019","EQ","1,282.00","1,288.75","1,274.05","1,275.00","1,284.90","1,282.15","1,282.10","2,503.30","1,084.00",4667095,"5,983,704,059.55",116012
"27-Dec-2019","EQ","1,272.00","1,279.00","1,270.00","1,270.45","1,275.75","1,275.00","1,275.30","2,503.30","1,084.00",3546496,"4,522,859,102.10",104711
"26-Dec-2019","EQ","1,289.70","1,291.85","1,264.65","1,289.15","1,269.85","1,270.45","1,274.91","2,503.30","1,084.00",7474879,"9,529,779,205.65",126918
"24-Dec-2019","EQ","1,298.60","1,301.10","1,286.95","1,302.40","1,290.00","1,289.15","1,293.83","2,503.30","1,084.00",3589604,"4,644,339,997.80",91053
"23-Dec-2019","EQ","1,299.00","1,304.00","1,288.80","1,296.70","1,301.50","1,302.40","1,298.01","2,503.30","1,084.00",5097891,"6,617,101,355.25",126370
"20-Dec-2019","EQ","1,288.75","1,299.60","1,280.05","1,288.80","1,296.45","1,296.70","1,292.36","2,503.30","1,084.00",7513022,"9,709,492,966.65",141458
"19-Dec-2019","EQ","1,305.00","1,305.50","1,286.10","1,292.35","1,288.50","1,288.80","1,296.05","2,503.30","1,084.00",6509188,"8,436,211,795.40",151485
"18-Dec-2019","EQ","1,283.00","1,299.00","1,273.65","1,271.10","1,292.70","1,292.35","1,287.03","2,503.30","1,084.00",8723586,"11,227,488,009.50",201690
"17-Dec-2019","EQ","1,260.00","1,274.80","1,255.35","1,257.35","1,271.75","1,271.10","1,267.95","2,503.30","1,084.00",6213677,"7,878,637,927.25",169567
"16-Dec-2019","EQ","1,269.25","1,270.00","1,248.20","1,263.85","1,258.70","1,257.35","1,256.17","2,503.30","1,084.00",5663788,"7,114,678,289.85",246978
"13-Dec-2019","EQ","1,265.00","1,272.35","1,259.25","1,263.60","1,263.10","1,263.85","1,266.95","2,503.30","1,084.00",5887593,"7,459,262,686.80",104179
"12-Dec-2019","EQ","1,253.00","1,269.45","1,253.00","1,248.75","1,265.80","1,263.60","1,261.92","2,503.30","1,084.00",6456574,"8,147,695,875.65",142217
"11-Dec-2019","EQ","1,250.10","1,254.00","1,242.50","1,249.50","1,250.55","1,248.75","1,248.04","2,503.30","1,084.00",5527321,"6,898,336,218.40",160384
"10-Dec-2019","EQ","1,251.00","1,253.65","1,245.10","1,242.95","1,250.10","1,249.50","1,249.14","2,503.30","1,084.00",4894450,"6,113,859,550.55",137774
"09-Dec-2019","EQ","1,249.50","1,249.85","1,237.55","1,246.05","1,243.50","1,242.95","1,242.41","2,503.30","1,084.00",4132675,"5,134,473,126.30",91238
"06-Dec-2019","EQ","1,248.95","1,260.00","1,238.20","1,245.60","1,245.40","1,246.05","1,250.90","2,503.30","1,084.00",6887325,"8,615,373,629.10",148575
"05-Dec-2019","EQ","1,255.60","1,258.75","1,240.75","1,251.65","1,244.90","1,245.60","1,249.82","2,503.30","1,084.00",6386247,"7,981,674,760.30",135982
"04-Dec-2019","EQ","1,252.50","1,256.90","1,234.20","1,255.40","1,251.65","1,251.65","1,244.89","2,503.30","1,084.00",5697807,"7,093,157,131.20",160001
"03-Dec-2019","EQ","1,268.20","1,269.00","1,253.80","1,265.75","1,255.10","1,255.40","1,257.55","2,503.30","1,084.00",3495953,"4,396,324,269.00",145022
"02-Dec-2019","EQ","1,273.95","1,273.95","1,258.60","1,274.95","1,262.55","1,265.75","1,265.00","2,503.30","1,084.00",4473102,"5,658,467,295.00",140206
"29-Nov-2019","EQ","1,267.70","1,279.90","1,252.00","1,265.30","1,275.00","1,274.95","1,267.91","2,503.30","1,084.00",7783813,"9,869,209,147.60",179493
"28-Nov-2019","EQ","1,280.20","1,283.05","1,262.00","1,278.40","1,267.75","1,265.30","1,269.05","2,503.30","1,084.00",6183020,"7,846,573,348.95",126121
"27-Nov-2019","EQ","1,276.00","1,285.75","1,271.20","1,275.05","1,278.60","1,278.40","1,277.74","2,503.30","1,084.00",4790333,"6,120,781,425.40",123094
"26-Nov-2019","EQ","1,278.45","1,279.75","1,266.95","1,271.10","1,276.00","1,275.05","1,273.47","2,503.30","1,084.00",4358001,"5,549,764,593.35",162619
"25-Nov-2019","EQ","1,264.15","1,279.50","1,264.15","1,264.75","1,272.90","1,271.10","1,272.73","2,503.30","1,084.00",3946778,"5,023,175,474.65",112947
"22-Nov-2019","EQ","1,283.65","1,283.65","1,262.00","1,283.35","1,266.50","1,264.75","1,269.56","2,503.30","1,084.00",3844005,"4,880,191,775.15",101153
"21-Nov-2019","EQ","1,270.25","1,287.00","1,268.35","1,273.35","1,281.95","1,283.35","1,279.30","2,503.30","1,084.00",6009763,"7,688,314,981.00",128228
"20-Nov-2019","EQ","1,273.00","1,282.95","1,267.00","1,271.90","1,275.00","1,273.35","1,274.00","2,503.30","1,084.00",5527129,"7,041,572,649.20",109397
"19-Nov-2019","EQ","1,265.30","1,275.00","1,261.10","1,262.05","1,274.75","1,271.90","1,269.59","2,503.30","1,084.00",5285289,"6,710,158,704.45",130282
"18-Nov-2019","EQ","1,277.00","1,279.45","1,258.70","1,277.90","1,262.65","1,262.05","1,264.60","2,503.30","1,084.00",4565146,"5,773,101,976.90",143584
"15-Nov-2019","EQ","1,283.85","1,285.00","1,271.10","1,273.90","1,279.75","1,277.90","1,279.78","2,503.30","1,084.00",4639506,"5,937,530,374.55",116607
"14-Nov-2019","EQ","1,263.80","1,277.00","1,257.20","1,257.55","1,275.00","1,273.90","1,267.09","2,503.30","1,084.00",5527609,"7,003,995,795.10",124827
"13-Nov-2019","EQ","1,261.95","1,270.00","1,253.60","1,264.75","1,258.00","1,257.55","1,260.90","2,503.30","1,084.00",4646748,"5,859,068,447.60",123817
