"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Jul-2019","EQ","437.90","440.00","434.20","436.75","435.55","435.95","436.58","443.90","256.50",10415896,"4,547,375,341.35",124380
"02-Jul-2019","EQ","439.00","440.00","433.60","439.00","436.90","436.75","436.41","443.90","256.50",7787303,"3,398,464,352.35",108074
"01-Jul-2019","EQ","439.50","442.00","437.70","437.10","438.00","439.00","440.52","443.90","256.50",6871979,"3,027,269,268.25",81553
"28-Jun-2019","EQ","439.50","440.50","433.60","440.95","436.70","437.10","437.24","443.90","256.50",13459208,"5,884,939,193.90",124084
"27-Jun-2019","EQ","438.00","443.90","437.60","438.65","439.30","440.95","441.05","443.90","256.50",18787957,"8,286,503,742.30",112986
"26-Jun-2019","EQ","432.50","440.00","432.50","433.65","438.20","438.65","437.59","440.00","256.50",12261068,"5,365,262,507.45",110991
"25-Jun-2019","EQ","427.90","434.80","424.60","429.45","433.00","433.65","429.37","439.20","256.50",12964387,"5,566,569,759.85",109615
"24-Jun-2019","EQ","431.45","433.80","428.20","430.80","430.15","429.45","430.92","439.20","256.50",8545999,"3,682,615,225.10",121147
"21-Jun-2019","EQ","434.20","435.20","428.85","433.40","431.00","430.80","431.95","439.20","256.50",13909654,"6,008,334,356.85",112785
"20-Jun-2019","EQ","419.75","434.65","419.00","419.80","433.00","433.40","427.74","439.20","256.50",24315929,"10,400,898,894.45",234583
"19-Jun-2019","EQ","423.75","426.00","417.35","422.15","421.10","419.80","422.34","439.20","256.50",17010384,"7,184,114,383.95",160346
"18-Jun-2019","EQ","415.45","426.05","415.10","414.20","422.40","422.15","421.58","439.20","256.50",17761348,"7,487,788,911.70",167423
"17-Jun-2019","EQ","418.95","419.70","413.15","417.75","414.80","414.20","415.63","439.20","256.50",9539802,"3,964,982,807.85",83520
"14-Jun-2019","EQ","420.30","422.00","416.10","419.60","417.60","417.75","418.86","439.20","256.50",8601256,"3,602,745,408.60",114906
"13-Jun-2019","EQ","416.70","422.30","415.30","418.00","420.15","419.60","418.62","439.20","256.50",12164077,"5,092,118,754.15",126343
"12-Jun-2019","EQ","422.00","422.00","414.80","421.35","418.60","418.00","417.27","439.20","256.50",11136959,"4,647,163,886.75",96797
"11-Jun-2019","EQ","418.45","423.70","413.05","416.10","422.00","421.35","419.85","439.20","256.50",10939138,"4,592,812,523.20",111196
"10-Jun-2019","EQ","418.90","422.75","413.00","416.60","416.10","416.10","417.03","439.20","256.50",13074522,"5,452,431,738.40",148593
"07-Jun-2019","EQ","413.50","418.95","407.90","411.55","417.45","416.60","414.74","439.20","256.50",14107696,"5,851,027,471.25",147237
"06-Jun-2019","EQ","417.40","417.85","410.35","419.10","411.30","411.55","414.37","439.20","256.50",17762399,"7,360,203,167.85",157316
"04-Jun-2019","EQ","417.70","422.75","417.50","422.90","419.00","419.10","420.00","439.20","256.50",14514451,"6,096,070,587.90",113081
"03-Jun-2019","EQ","426.00","426.40","419.60","423.70","422.85","422.90","423.15","439.20","256.50",17125380,"7,246,549,134.60",224891
"31-May-2019","EQ","427.00","430.20","414.30","426.20","421.60","423.70","424.04","439.20","256.50",24644955,"10,450,423,694.70",244210
"30-May-2019","EQ","420.85","428.00","419.60","423.30","427.95","426.20","424.71","439.20","256.50",18281037,"7,764,104,262.10",135223
"29-May-2019","EQ","428.60","430.45","422.10","434.30","423.50","423.30","425.79","439.20","256.50",22132254,"9,423,765,484.15",179051
"28-May-2019","EQ","435.05","439.20","428.10","435.50","437.00","434.30","433.06","439.20","256.50",23389724,"10,129,200,998.60",186290
"27-May-2019","EQ","432.25","438.80","429.65","431.75","435.05","435.50","433.75","438.80","256.50",23397222,"10,148,567,219.20",179032
"24-May-2019","EQ","415.50","433.55","412.65","410.85","432.50","431.75","424.41","433.55","256.50",37708344,"16,003,750,690.45",229368
"23-May-2019","EQ","414.00","427.95","407.40","405.35","411.50","410.85","417.39","427.95","256.50",43279956,"18,064,470,981.55",298790
"22-May-2019","EQ","403.00","408.40","401.55","400.15","405.40","405.35","406.02","414.00","256.50",15370847,"6,240,850,925.65",158227
"21-May-2019","EQ","408.60","410.80","397.60","407.70","400.30","400.15","404.16","414.00","256.50",18286421,"7,390,653,909.15",163681
"20-May-2019","EQ","405.25","414.00","402.00","389.70","408.25","407.70","409.17","414.00","256.50",33350816,"13,646,075,945.60",259299
"17-May-2019","EQ","381.20","392.00","380.75","382.50","391.15","389.70","386.58","411.00","256.50",19096980,"7,382,538,891.45",215267
"16-May-2019","EQ","379.00","385.00","377.55","377.05","382.95","382.50","380.92","411.00","256.50",13430281,"5,115,876,985.60",105722
"15-May-2019","EQ","382.35","384.50","375.80","380.40","376.80","377.05","381.46","411.00","256.50",16183425,"6,173,380,127.75",150965
"14-May-2019","EQ","378.10","386.75","376.50","376.30","381.50","380.40","382.41","411.00","256.50",21481226,"8,214,663,938.30",181017
"13-May-2019","EQ","385.00","385.75","375.25","385.10","377.40","376.30","380.82","411.00","256.50",13828080,"5,266,051,878.70",140044
"10-May-2019","EQ","383.50","389.20","382.25","381.40","383.65","385.10","385.98","411.00","256.50",18361701,"7,087,276,209.60",147926
"09-May-2019","EQ","380.95","385.70","377.55","382.20","382.00","381.40","382.09","411.00","256.50",19739885,"7,542,390,728.75",252857
"08-May-2019","EQ","386.30","390.00","380.10","386.50","382.40","382.20","384.93","411.00","256.50",22509400,"8,664,635,645.50",220402
"07-May-2019","EQ","398.00","407.35","384.30","401.30","386.20","386.50","397.17","411.00","256.50",41519416,"16,490,179,115.40",279913
"06-May-2019","EQ","396.50","404.90","394.65","401.80","401.80","401.30","400.54","411.00","256.50",20751521,"8,311,728,382.90",158585
"03-May-2019","EQ","397.15","405.20","394.70","395.55","402.75","401.80","400.66","411.00","256.50",24431248,"9,788,606,916.70",212947
"02-May-2019","EQ","403.70","405.00","394.40","407.50","394.75","395.55","399.85","411.00","256.50",16572948,"6,626,740,084.20",190606
"30-Apr-2019","EQ","407.75","409.80","403.30","407.20","405.75","407.50","407.21","411.00","256.50",19375553,"7,889,956,795.35",226795
"26-Apr-2019","EQ","400.00","408.00","394.25","395.40","407.20","407.20","402.32","411.00","256.50",14286163,"5,747,563,971.80",132349
"25-Apr-2019","EQ","400.90","402.40","394.30","401.10","395.65","395.40","398.27","411.00","256.50",16524091,"6,581,039,961.40",116341
"24-Apr-2019","EQ","397.10","402.65","393.45","396.50","401.60","401.10","397.78","411.00","256.50",11397163,"4,533,610,328.60",143131
"23-Apr-2019","EQ","396.10","399.95","393.60","394.50","397.00","396.50","397.18","411.00","256.50",10203957,"4,052,765,464.20",130061
"22-Apr-2019","EQ","404.25","404.60","393.70","404.40","394.75","394.50","398.24","411.00","256.50",10493872,"4,179,106,013.45",127031
"18-Apr-2019","EQ","411.00","411.00","402.60","407.00","403.35","404.40","406.69","411.00","256.50",18660434,"7,589,094,891.45",138933
"16-Apr-2019","EQ","397.50","408.40","397.50","392.75","407.95","407.00","404.80","409.55","256.50",24487788,"9,912,576,444.50",225994
"15-Apr-2019","EQ","394.20","396.95","391.80","394.60","392.60","392.75","394.89","409.55","256.50",9770752,"3,858,415,193.80",90163
"12-Apr-2019","EQ","390.60","395.55","388.25","390.05","393.45","394.60","392.26","409.55","256.50",7035256,"2,759,661,617.20",66730
